"dataset","ARI","AMI","NMI","Mean_Silhouette","num_clusters","num_features","num_instances","cardinality_pred","cardinality_real"
"balance-scale",0.136382266754085,0.0951528359396813,0.0983938165687344,0.0133511520169485,3,4,625,"288, 49, 288","288, 49, 288"
"mfeat-morphological",1,1,1,-0.0178069102708948,10,6,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200"
"ecoli",0.913299991104745,0.845374165992565,0.851765903734155,0.0697534389901126,8,7,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2"
"iris",1,1,1,0.503250698066551,3,4,150,"50, 50, 50","50, 50, 50"
"yeast",0.0240213968634954,0.0601223978190988,0.0749306430026433,-0.109132873934476,10,8,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5"
"wine",1,1,1,0.20008297882823,3,13,178,"59, 71, 48","59, 71, 48"
"breast-tissue",0.703098405354044,0.772847953999103,0.789862797130393,-0.0237084497282407,6,9,106,"22, 21, 14, 15, 16, 18","22, 21, 14, 15, 16, 18"
"seeds",1,1,1,0.414508294885281,3,7,210,"70, 70, 70","70, 70, 70"
"user-knowledge",0.0101766664527252,0.0585128651054905,0.0724935017298371,-0.0199488888445524,5,5,403,"102, 129, 122, 24, 26","102, 129, 122, 24, 26"
"heart-long-beach",-0.0103330523630587,-0.0204340860816234,0.00865812249994177,-0.0805247125361947,5,13,200,"51, 56, 41, 42, 10","51, 56, 41, 42, 10"
"heart-switzerland",0.000604425644795684,0.0272010051729782,0.0777018440958641,-0.0284822476058703,5,12,123,"8, 48, 32, 30, 5","8, 48, 32, 30, 5"
"vertebra-column",0.553925677563565,0.700266568770994,0.702159324091262,-0.0110916836649353,3,6,310,"60, 100, 150","60, 100, 150"
"volcanoes-a1",-0.0919084692555072,0.0152160364676309,0.0216244726375239,-0.28213085870044,5,3,3252,"2952, 68, 58, 86, 88","2952, 68, 58, 86, 88"
"volcanoes-a2",-0.0933449044927313,0.00948376802935754,0.0220635258653775,-0.0648181252017513,5,3,1623,"1471, 35, 29, 44, 44","1471, 35, 29, 44, 44"
"volcanoes-a3",-0.0994465009596737,0.0112305851358254,0.0240641282910054,-0.0660303991504558,5,3,1521,"1369, 35, 29, 44, 44","1369, 35, 29, 44, 44"
"volcanoes-a4",-0.0985342634900282,0.0108305822033192,0.0237746929632593,-0.0808011024270993,5,3,1515,"1365, 33, 29, 45, 43","1365, 33, 29, 45, 43"
"volcanoes-e1",-0.0833652201590301,0.00456755320746923,0.0198904255151883,-0.214968558287922,5,3,1183,"1083, 9, 21, 49, 21","1083, 9, 21, 49, 21"
"volcanoes-e2",-0.0870949173352777,0.00569691844379575,0.0214660885895586,-0.219756502345401,5,3,1080,"984, 8, 19, 51, 18","984, 8, 19, 51, 18"
"volcanoes-e3",-0.0825802151609305,0.00533813358154171,0.0197058866017372,-0.212081170048481,5,3,1277,"1170, 9, 21, 53, 24","1170, 9, 21, 53, 24"
"volcanoes-e4",-0.0849690056516144,0.00597297722491403,0.0204615040785669,-0.263890181690067,5,3,1252,"1144, 9, 22, 53, 24","1144, 9, 22, 53, 24"
"volcanoes-e5",-0.0899902224501876,0.00671731534801767,0.0222621934870201,-0.200259151784175,5,3,1112,"1010, 9, 21, 52, 20","1010, 9, 21, 52, 20"
"Engine1",0.0217510106843235,0.110240327861943,0.116640955481593,-0.380995667968279,3,5,383,"257, 125, 1","257, 125, 1"
"LED-display-domain-7digit",-0.0100697247348436,-0.0236280210788072,0.0145006624983043,-0.050658610554273,10,7,500,"45, 37, 51, 57, 52, 52, 47, 57, 53, 49","45, 37, 51, 57, 52, 52, 47, 57, 53, 49"
"wine-quality-white",-0.00815510410333337,0.00366467183049928,0.00628280193701668,-0.201569084300753,7,11,4898,"20, 163, 1457, 2198, 880, 175, 5","20, 163, 1457, 2198, 880, 175, 5"
"thyroid-new",1,1,1,0.383500285301662,3,5,215,"150, 35, 30","150, 35, 30"
"wine-quality-red",0.00687358799683861,0.0101497174724067,0.0164701029696874,-0.156714315425063,6,11,1599,"10, 53, 681, 638, 199, 18","10, 53, 681, 638, 199, 18"
"balance-scale",0.136382266754085,0.0951528359396813,0.0983938165687344,0.0133511520169485,3,4,625,"288, 49, 288","288, 49, 288"
"mfeat-morphological",1,1,1,-0.0178069102708948,10,6,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200"
"ecoli",0.913299991104745,0.845374165992565,0.851765903734155,0.0697534389901126,8,7,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2"
"iris",1,1,1,0.503250698066551,3,4,150,"50, 50, 50","50, 50, 50"
"yeast",0.0240213968634954,0.0601223978190988,0.0749306430026433,-0.109132873934476,10,8,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5"
"wine",1,1,1,0.20008297882823,3,13,178,"59, 71, 48","59, 71, 48"
"breast-tissue",0.703098405354044,0.772847953999103,0.789862797130393,-0.0237084497282407,6,9,106,"22, 21, 14, 15, 16, 18","22, 21, 14, 15, 16, 18"
